sale_id,product_id,quantity,price_at_sale
33,76,1,36.06
100,52,16,378.46
4,71,42,89.41
54,5,35,375.07
76,56,14,104.97
14,79,19,253.51
66,3,38,72.79
15,50,34,65.14
52,80,26,405.85
25,81,26,273.89
29,84,14,316.87

80,51,14,399.21
54,98,11,221.4
16,25,5,408.62
97,74,26,123.88
48,47,12,439.05
51,70,29,236.59
19,82,28,14.32
19,22,28,296.78
93,48,11,415.8
41,28,4,227.6
21,90,44,438.8
15,52,12,401.4
13,59,23,218.67
6,70,11,67.9
7,14,31,485.12
74,94,44,81.81
23,93,24,396.03
35,84,22,269.76
37,79,13,170.08
18,33,20,91.75
62,91,34,111.9
8,42,27,46.5
82,71,20,225.28
76,80,37,323.58
90,72,47,469.34
25,61,40,263.96
93,3,5,499.58
34,22,10,191.9
16,96,14,160.77
48,10,4,255.69
11,47,47,434.47
39,61,36,26.42
43,47,28,92.4
69,7,26,229.21
26,68,2,279.68
52,9,21,209.73
77,51,35,386.04
39,10,43,424.5
27,24,47,289.65
69,34,39,483.5
3,40,50,303.34
23,80,3,68.84
68,12,24,278.79
69,17,42,404.74
48,58,28,245.55
21,31,3,421.01
99,82,15,16.13
22,19,46,53.01
74,64,30,476.28
5,47,25,310.69
87,24,7,352.02
11,28,26,108.9
52,93,10,271.45
74,24,45,17.67
99,37,25,9.23
30,19,45,131.74
40,50,30,368.57
38,88,28,41.95
74,49,27,30.62
3,14,29,407.49
90,15,40,146.08
74,71,38,343.51
87,45,31,48.9
99,76,41,184.73
50,76,5,456.63
32,19,8,13.71
36,5,26,175.32
75,78,23,297.72
6,12,2,37.24
27,20,21,205.17
62,17,12,365.42
44,92,22,64.32
16,23,23,191.01
39,50,46,12.93
66,79,36,398.18
20,51,13,231.72
40,70,47,66.21
42,34,43,414.65
85,44,48,349.46
8,76,23,25.24
24,26,40,483.25
78,95,21,230.85
45,82,8,84.02
80,12,20,310.22
83,9,23,308.71
25,93,33,480.51
60,89,44,16.78
91,48,16,350.53
96,97,39,44.1
