sale_id,customer_id,sale_date,total_amount
1,27,2024-06-20,6.29
2,44,2024-05-09,315.35
3,40,2024-07-31,480.1
4,49,2024-07-03,94.35
5,38,2024-08-22,131.25
6,19,2024-06-04,224.93
7,66,2024-02-05,23.2
8,95,2024-07-01,224.21
9,33,2024-09-17,95.66
10,47,2024-05-20,212.49
11,2,2024-02-02,5.82
12,81,2024-07-02,133.16
13,7,2024-09-17,70.39







14,85,2024-07-24,280.89
15,66,2024-05-19,216.99
16,98,2024-05-08,46.5
17,56,2024-08-17,478.86
18,14,2024-04-16,149.39
19,5,2024-08-22,67.19
20,4,2024-05-20,255.11
21,74,2024-03-11,372.65
22,4,2024-05-06,159.09
23,77,2024-08-10,217.61
24,11,2024-03-24,299.83
25,97,2024-08-27,125.24
26,28,2024-03-31,201.46
27,27,2024-05-09,380.73
28,79,2024-02-29,56.22
29,12,2024-03-03,220.39
30,44,2024-08-15,203.07
31,50,2024-01-14,147.18
32,43,2024-08-25,103.56
33,91,2024-03-08,475.79
34,69,2024-03-05,44.97
35,1,2024-08-14,474.02
36,88,2024-02-01,77.22
37,58,2024-06-24,136.42
38,6,2024-06-16,289.02
39,83,2024-02-22,357.19
40,52,2024-06-27,59.34
41,45,2024-06-26,6.63
42,26,2024-07-17,375.76
43,54,2024-07-27,418.88
44,94,2024-06-13,126.31
45,79,2024-06-25,321.25
46,58,2024-01-28,340.86
47,39,2024-03-10,481.35
48,47,2024-07-13,480.68
49,95,2024-08-31,399.83
50,89,2024-04-09,12.95
51,48,2024-03-09,16.75
52,66,2024-07-23,106.04
53,93,2024-04-05,139.21
54,94,2024-05-11,353.17
55,2,2024-08-31,27.95
56,62,2024-07-27,122.87
57,35,2024-01-19,434.4
58,89,2024-08-15,219.97
59,11,2024-04-18,167.6
60,22,2024-07-23,216.34
61,30,2024-07-29,310.61
62,24,2024-05-16,112.06
63,2,2024-03-06,294.62
64,7,2024-09-02,414.59
65,51,2024-03-04,261.86
66,23,2024-08-01,395.46
67,51,2024-07-22,183.18
68,57,2024-06-24,431.43
69,98,2024-07-15,145.93
70,75,2024-03-22,99.26
71,93,2024-04-14,17.4
72,30,2024-07-27,300.57
73,25,2024-02-22,12.94
74,48,2024-04-13,246.44
75,80,2024-07-01,386.89
76,67,2024-07-30,255.55
77,93,2024-08-08,430.34
78,30,2024-03-30,131.41
79,89,2024-04-27,353.16







80,44,2024-03-21,189.69
81,86,2024-01-06,284.95
82,73,2024-04-09,272.4
83,21,2024-03-22,364.34
84,29,2024-04-15,343.52
85,94,2024-03-12,308.95
86,52,2024-05-13,453.55
87,52,2024-04-02,213.7
88,81,2024-03-01,468.8
89,61,2024-06-04,92.75
90,14,2024-05-01,226.47
91,29,2024-02-09,238.06
92,65,2024-07-17,446.97
93,32,2024-04-18,104.92
94,22,2024-01-02,303.26
95,68,2024-05-12,251.05
96,69,2024-08-04,89.46
97,83,2024-01-15,207.48
98,77,2024-08-08,381.38
99,77,2024-06-17,441.63
100,41,2024-07-04,73.53
